dataset,condition,pair,attention_kl
anli,ce_only,s1-t3,0.12684907643116786
anli,ce_only,s2-t6,0.2235815611810879
anli,ce_only,s3-t9,0.3023459068914131
anli,ce_only,s4-t12,1.1539674434553497
anli,kd_logit,s1-t3,0.12776221472913935
anli,kd_logit,s2-t6,0.22283187464507118
anli,kd_logit,s3-t9,0.3037587475341342
anli,kd_logit,s4-t12,1.1274285305506462
anli,kd_hidden,s1-t3,0.11509501620220405
anli,kd_hidden,s2-t6,0.18192002423469214
anli,kd_hidden,s3-t9,0.23389564226614343
anli,kd_hidden,s4-t12,0.5495899566241407
anli,kd_attn,s1-t3,0.12694532916640688
anli,kd_attn,s2-t6,0.22186046613081167
anli,kd_attn,s3-t9,0.29689350087639466
anli,kd_attn,s4-t12,0.8169941643857478
anli,kd_logit_hidden,s1-t3,0.12084817462396182
anli,kd_logit_hidden,s2-t6,0.19238535110930927
anli,kd_logit_hidden,s3-t9,0.24643964147445732
anli,kd_logit_hidden,s4-t12,0.6847588843172626
anli,kd_logit_attn,s1-t3,0.12832029185229132
anli,kd_logit_attn,s2-t6,0.2216682756702479
anli,kd_logit_attn,s3-t9,0.2987490892772192
anli,kd_logit_attn,s4-t12,0.8937839935404649
anli,kd_hidden_attn,s1-t3,0.11489803044365933
anli,kd_hidden_attn,s2-t6,0.17892507806316277
anli,kd_hidden_attn,s3-t9,0.2227617094955911
anli,kd_hidden_attn,s4-t12,0.4327031666766058
anli,kd_full,s1-t3,0.1205494869880893
anli,kd_full,s2-t6,0.19127595236973857
anli,kd_full,s3-t9,0.24219095452048864
anli,kd_full,s4-t12,0.5079182321512312
davidson,ce_only,s1-t3,0.0848009403237669
davidson,ce_only,s2-t6,0.38095852463663665
davidson,ce_only,s3-t9,0.5549973462829716
davidson,ce_only,s4-t12,0.24542616382865629
davidson,kd_logit,s1-t3,0.08262096897129961
davidson,kd_logit,s2-t6,0.28903827124825054
davidson,kd_logit,s3-t9,0.5243523900760106
davidson,kd_logit,s4-t12,0.241813987735078
davidson,kd_hidden,s1-t3,0.12249234725296014
davidson,kd_hidden,s2-t6,0.4027621959293752
davidson,kd_hidden,s3-t9,0.27660538308779964
davidson,kd_hidden,s4-t12,0.3620928630574684
davidson,kd_attn,s1-t3,0.08202046937938574
davidson,kd_attn,s2-t6,0.19248710430033636
davidson,kd_attn,s3-t9,0.33197961035035506
davidson,kd_attn,s4-t12,0.21838847004559886
davidson,kd_logit_hidden,s1-t3,0.12172966983426746
davidson,kd_logit_hidden,s2-t6,0.4317560459267456
davidson,kd_logit_hidden,s3-t9,0.2964284115725943
davidson,kd_logit_hidden,s4-t12,0.34947179644165793
davidson,kd_logit_attn,s1-t3,0.08155339667226837
davidson,kd_logit_attn,s2-t6,0.19583568004383328
davidson,kd_logit_attn,s3-t9,0.3646516020374322
davidson,kd_logit_attn,s4-t12,0.21857560455578012
davidson,kd_hidden_attn,s1-t3,0.11789059498133543
davidson,kd_hidden_attn,s2-t6,0.25735491031898805
davidson,kd_hidden_attn,s3-t9,0.24557818153235655
davidson,kd_hidden_attn,s4-t12,0.2488617999882206
davidson,kd_full,s1-t3,0.11685534829801215
davidson,kd_full,s2-t6,0.3243464676785852
davidson,kd_full,s3-t9,0.2604967199326348
davidson,kd_full,s4-t12,0.242169285462541
dynahate,ce_only,s1-t3,0.062528427448288
dynahate,ce_only,s2-t6,0.16187415853345882
dynahate,ce_only,s3-t9,0.34843190918947664
dynahate,ce_only,s4-t12,1.5482980442123597
dynahate,kd_logit,s1-t3,0.06227349087822982
dynahate,kd_logit,s2-t6,0.16344595681980503
dynahate,kd_logit,s3-t9,0.32644749070131596
dynahate,kd_logit,s4-t12,1.4751373817180764
dynahate,kd_hidden,s1-t3,0.12800134690934023
dynahate,kd_hidden,s2-t6,0.7155139497880851
dynahate,kd_hidden,s3-t9,0.4857784078516956
dynahate,kd_hidden,s4-t12,1.3067918913595755
dynahate,kd_attn,s1-t3,0.0591414206106374
dynahate,kd_attn,s2-t6,0.15705620276994867
dynahate,kd_attn,s3-t9,0.2650685115346167
dynahate,kd_attn,s4-t12,0.8914200967086633
dynahate,kd_logit_hidden,s1-t3,0.09814606844757497
dynahate,kd_logit_hidden,s2-t6,0.6319381236647642
dynahate,kd_logit_hidden,s3-t9,0.4203395935278849
dynahate,kd_logit_hidden,s4-t12,1.037807651204688
dynahate,kd_logit_attn,s1-t3,0.059970509269855074
dynahate,kd_logit_attn,s2-t6,0.1574771991231103
dynahate,kd_logit_attn,s3-t9,0.24997413684199501
dynahate,kd_logit_attn,s4-t12,0.9727121397506359
dynahate,kd_hidden_attn,s1-t3,0.08284070803436548
dynahate,kd_hidden_attn,s2-t6,0.22651675575335883
dynahate,kd_hidden_attn,s3-t9,0.5227340569760002
dynahate,kd_hidden_attn,s4-t12,0.8880127675072518
dynahate,kd_full,s1-t3,0.08859380341187992
dynahate,kd_full,s2-t6,0.3204808177810339
dynahate,kd_full,s3-t9,0.3799708075014801
dynahate,kd_full,s4-t12,0.9378685970352283
fever,ce_only,s1-t3,0.1260848469117446
fever,ce_only,s2-t6,0.21604347051673162
fever,ce_only,s3-t9,0.4315874040795051
fever,ce_only,s4-t12,1.3315274938260528
fever,kd_logit,s1-t3,0.12634703438237027
fever,kd_logit,s2-t6,0.20914254067274662
fever,kd_logit,s3-t9,0.452518994501128
fever,kd_logit,s4-t12,1.2708506775319592
fever,kd_hidden,s1-t3,0.11637998335277379
fever,kd_hidden,s2-t6,0.17035880794217426
fever,kd_hidden,s3-t9,0.2228101196789761
fever,kd_hidden,s4-t12,0.7575869052502051
fever,kd_attn,s1-t3,0.12548591461473715
fever,kd_attn,s2-t6,0.19480328454259382
fever,kd_attn,s3-t9,0.376265225242258
fever,kd_attn,s4-t12,1.2222545295195857
fever,kd_logit_hidden,s1-t3,0.12062835735084257
fever,kd_logit_hidden,s2-t6,0.16688447221563527
fever,kd_logit_hidden,s3-t9,0.30029444080380946
fever,kd_logit_hidden,s4-t12,0.7701840741535925
fever,kd_logit_attn,s1-t3,0.12403962425042085
fever,kd_logit_attn,s2-t6,0.19862578936799288
fever,kd_logit_attn,s3-t9,0.4184698491335111
fever,kd_logit_attn,s4-t12,1.2282650353773585
fever,kd_hidden_attn,s1-t3,0.1151672672045371
fever,kd_hidden_attn,s2-t6,0.16548972292809594
