dataset,condition,pair,cka
anli,ce_only,s1-t3,0.7704228617830396
anli,ce_only,s2-t6,0.7135480946623337
anli,ce_only,s3-t9,0.6158711516028696
anli,ce_only,s4-t12,0.2935964842468896
anli,kd_logit,s1-t3,0.7709487518943552
anli,kd_logit,s2-t6,0.7129627977361588
anli,kd_logit,s3-t9,0.6177207116765647
anli,kd_logit,s4-t12,0.28197283882261176
anli,kd_hidden,s1-t3,0.7885317284794343
anli,kd_hidden,s2-t6,0.760479272138713
anli,kd_hidden,s3-t9,0.6922372794878403
anli,kd_hidden,s4-t12,0.6182127262740674
anli,kd_attn,s1-t3,0.7714335388709923
anli,kd_attn,s2-t6,0.7144068991767379
anli,kd_attn,s3-t9,0.6229138635812069
anli,kd_attn,s4-t12,0.3141021611738554
anli,kd_logit_hidden,s1-t3,0.7831990573272469
anli,kd_logit_hidden,s2-t6,0.7489977182154178
anli,kd_logit_hidden,s3-t9,0.6807780250776082
anli,kd_logit_hidden,s4-t12,0.5667148271879368
anli,kd_logit_attn,s1-t3,0.7708449412597345
anli,kd_logit_attn,s2-t6,0.7141493732164277
anli,kd_logit_attn,s3-t9,0.6216910465467367
anli,kd_logit_attn,s4-t12,0.301222732040094
anli,kd_hidden_attn,s1-t3,0.7882039098268881
anli,kd_hidden_attn,s2-t6,0.7605315595948264
anli,kd_hidden_attn,s3-t9,0.6914576375699943
anli,kd_hidden_attn,s4-t12,0.6153880284728026
anli,kd_full,s1-t3,0.7840730891151934
anli,kd_full,s2-t6,0.7499656964143384
anli,kd_full,s3-t9,0.6801980819697728
anli,kd_full,s4-t12,0.571231009747209
davidson,ce_only,s1-t3,0.7772088768897727
davidson,ce_only,s2-t6,0.7611853317914166
davidson,ce_only,s3-t9,0.5616378909776335
davidson,ce_only,s4-t12,0.7533355144186669
davidson,kd_logit,s1-t3,0.7807165314805977
davidson,kd_logit,s2-t6,0.7700903944351868
davidson,kd_logit,s3-t9,0.502883394658889
davidson,kd_logit,s4-t12,0.7984633216650933
davidson,kd_hidden,s1-t3,0.7320069930733875
davidson,kd_hidden,s2-t6,0.7221000193429967
davidson,kd_hidden,s3-t9,0.6604441453394848
davidson,kd_hidden,s4-t12,0.8090296983096602
davidson,kd_attn,s1-t3,0.7771008549041797
davidson,kd_attn,s2-t6,0.7687272481602874
