dataset,effect,kind,metric,estimate,abs_estimate
davidson,logit,main,test_macro_f1,0.005765000000000076,0.005765000000000076
davidson,hidden,main,test_macro_f1,0.0068799999999999695,0.0068799999999999695
davidson,attention,main,test_macro_f1,0.009774999999999978,0.009774999999999978
davidson,logit x hidden,2-way,test_macro_f1,0.0035399999999999876,0.0035399999999999876
davidson,logit x attention,2-way,test_macro_f1,-0.00407499999999994,0.00407499999999994
davidson,hidden x attention,2-way,test_macro_f1,-0.006460000000000049,0.006460000000000049
davidson,logit x hidden x attention,3-way,test_macro_f1,0.0044899999999999385,0.0044899999999999385
dynahate,logit,main,test_macro_f1,0.004379999999999995,0.004379999999999995
dynahate,hidden,main,test_macro_f1,-0.02837999999999996,0.02837999999999996
dynahate,attention,main,test_macro_f1,0.008480000000000015,0.008480000000000015
dynahate,logit x hidden,2-way,test_macro_f1,0.0014949999999999686,0.0014949999999999686
dynahate,logit x attention,2-way,test_macro_f1,0.00299499999999997,0.00299499999999997
dynahate,hidden x attention,2-way,test_macro_f1,0.007235000000000075,0.007235000000000075
dynahate,logit x hidden x attention,3-way,test_macro_f1,0.0014200000000000879,0.0014200000000000879
hateval,logit,main,test_macro_f1,0.0020100000000000118,0.0020100000000000118
hateval,hidden,main,test_macro_f1,-0.002919999999999978,0.002919999999999978
hateval,attention,main,test_macro_f1,-0.003155000000000019,0.003155000000000019
hateval,logit x hidden,2-way,test_macro_f1,0.01019500000000001,0.01019500000000001
hateval,logit x attention,2-way,test_macro_f1,-0.007850000000000024,0.007850000000000024
hateval,hidden x attention,2-way,test_macro_f1,0.0007099999999999884,0.0007099999999999884
hateval,logit x hidden x attention,3-way,test_macro_f1,0.007925000000000071,0.007925000000000071
anli,logit,main,test_macro_f1,0.008830000000000005,0.008830000000000005
anli,hidden,main,test_macro_f1,-0.0031050000000000244,0.0031050000000000244
anli,attention,main,test_macro_f1,-0.0009799999999999948,0.0009799999999999948
anli,logit x hidden,2-way,test_macro_f1,0.0003650000000000042,0.0003650000000000042
anli,logit x attention,2-way,test_macro_f1,1.0000000000010001e-05,1.0000000000010001e-05
anli,hidden x attention,2-way,test_macro_f1,-0.00021500000000000685,0.00021500000000000685
anli,logit x hidden x attention,3-way,test_macro_f1,-0.00016500000000002624,0.00016500000000002624
fever,logit,main,test_macro_f1,0.0038924999999999654,0.0038924999999999654
fever,hidden,main,test_macro_f1,-0.011612500000000053,0.011612500000000053
fever,attention,main,test_macro_f1,-0.0015624999999999944,0.0015624999999999944
fever,logit x hidden,2-way,test_macro_f1,0.007032500000000108,0.007032500000000108
fever,logit x attention,2-way,test_macro_f1,0.0007825000000000193,0.0007825000000000193
fever,hidden x attention,2-way,test_macro_f1,0.0012974999999999515,0.0012974999999999515
fever,logit x hidden x attention,3-way,test_macro_f1,7.250000000003087e-05,7.250000000003087e-05
imdb,logit,main,test_macro_f1,0.005832500000000018,0.005832500000000018
imdb,hidden,main,test_macro_f1,-0.006292500000000034,0.006292500000000034
imdb,attention,main,test_macro_f1,0.0004175000000000151,0.0004175000000000151
imdb,logit x hidden,2-way,test_macro_f1,0.006157500000000038,0.006157500000000038
imdb,logit x attention,2-way,test_macro_f1,-0.0005824999999999858,0.0005824999999999858
imdb,hidden x attention,2-way,test_macro_f1,-0.0003675000000000206,0.0003675000000000206
imdb,logit x hidden x attention,3-way,test_macro_f1,0.00036249999999998783,0.00036249999999998783
tweet_eval-sentiment,logit,main,test_macro_f1,-0.0004050000000000442,0.0004050000000000442
tweet_eval-sentiment,hidden,main,test_macro_f1,-0.005955000000000016,0.005955000000000016
tweet_eval-sentiment,attention,main,test_macro_f1,-0.0036600000000000243,0.0036600000000000243
tweet_eval-sentiment,logit x hidden,2-way,test_macro_f1,0.0063949999999999285,0.0063949999999999285
tweet_eval-sentiment,logit x attention,2-way,test_macro_f1,-0.004689999999999972,0.004689999999999972
tweet_eval-sentiment,hidden x attention,2-way,test_macro_f1,0.005390000000000061,0.005390000000000061
tweet_eval-sentiment,logit x hidden x attention,3-way,test_macro_f1,0.00608000000000003,0.00608000000000003
vardial,logit,main,test_macro_f1,0.07017500000000004,0.07017500000000004
vardial,hidden,main,test_macro_f1,-0.09314499999999996,0.09314499999999996
vardial,attention,main,test_macro_f1,-0.009389999999999996,0.009389999999999996
vardial,logit x hidden,2-way,test_macro_f1,0.07483000000000001,0.07483000000000001
vardial,logit x attention,2-way,test_macro_f1,0.0036450000000000093,0.0036450000000000093
vardial,hidden x attention,2-way,test_macro_f1,-0.010815000000000019,0.010815000000000019
vardial,logit x hidden x attention,3-way,test_macro_f1,-0.01861999999999997,0.01861999999999997
