dataset,condition,top1_agreement,error_copying,teacher_student_kl,teacher_correct_student_wrong,teacher_wrong_student_correct
davidson,ce_only,0.94272,0.95322,0.07359,60,74
davidson,kd_logit,0.95159,0.96089,0.05194,47,66
davidson,kd_hidden,0.93828,0.96855,0.09129,62,86
davidson,kd_attn,0.94675,0.95858,0.07256,49,76
davidson,kd_logit_hidden,0.95321,0.96532,0.06496,38,72
davidson,kd_logit_attn,0.95038,0.95376,0.05008,43,72
davidson,kd_hidden_attn,0.94232,0.96319,0.09417,55,82
davidson,kd_full,0.95361,0.96023,0.06273,39,69
dynahate,ce_only,0.83058,1.0,0.13598,427,271
dynahate,kd_logit,0.83811,1.0,0.12436,409,258
dynahate,kd_hidden,0.79854,1.0,0.17046,559,271
dynahate,kd_attn,0.8267,1.0,0.13866,431,283
dynahate,kd_logit_hidden,0.80971,1.0,0.14821,536,248
dynahate,kd_logit_attn,0.84369,1.0,0.12579,390,254
dynahate,kd_hidden_attn,0.79903,1.0,0.17763,534,294
dynahate,kd_full,0.81602,1.0,0.14921,486,272
hateval,ce_only,0.85864,1.0,0.14144,409,237
hateval,kd_logit,0.88884,1.0,0.1123,315,193
hateval,kd_hidden,0.84705,1.0,0.15363,443,256
hateval,kd_attn,0.87987,1.0,0.12437,328,221
hateval,kd_logit_hidden,0.86586,1.0,0.13421,377,236
hateval,kd_logit_attn,0.88468,1.0,0.11845,361,166
hateval,kd_hidden_attn,0.84923,1.0,0.15203,442,247
hateval,kd_full,0.87024,1.0,0.13148,371,222
anli,ce_only,0.65344,0.83063,0.50821,585,315
anli,kd_logit,0.66406,0.83104,0.48906,554,312
anli,kd_hidden,0.65188,0.82778,0.50885,584,318
anli,kd_attn,0.65188,0.83266,0.50664,590,318
anli,kd_logit_hidden,0.66781,0.82958,0.49236,546,305
anli,kd_logit_attn,0.66344,0.8332,0.49141,557,314
anli,kd_hidden_attn,0.64844,0.82062,0.51633,587,317
anli,kd_full,0.66281,0.83347,0.49212,561,312
fever,ce_only,0.9104,0.89076,0.12695,209,187
fever,kd_logit,0.9114,0.89189,0.12131,209,182
fever,kd_hidden,0.9064,0.88755,0.12918,247,165
fever,kd_attn,0.911,0.90229,0.1274,216,182
fever,kd_logit_hidden,0.91,0.88753,0.11936,221,174
fever,kd_logit_attn,0.912,0.88934,0.12133,211,175
fever,kd_hidden_attn,0.9076,0.894,0.12909,246,163
fever,kd_full,0.9106,0.88957,0.1196,219,174
imdb,ce_only,0.89312,1.0,0.12853,1811,861
imdb,kd_logit,0.89728,1.0,0.12109,1752,816
imdb,kd_hidden,0.88104,1.0,0.14655,2108,866
imdb,kd_attn,0.89496,1.0,0.12617,1767,859
imdb,kd_logit_hidden,0.89648,1.0,0.11997,1765,823
imdb,kd_logit_attn,0.8976,1.0,0.12058,1750,810
imdb,kd_hidden_attn,0.88196,1.0,0.14428,2093,858
imdb,kd_full,0.89696,1.0,0.12093,1761,815
tweet_eval-sentiment,ce_only,0.78655,0.90214,0.16384,1355,988
tweet_eval-sentiment,kd_logit,0.79884,0.89913,0.1487,1226,954
tweet_eval-sentiment,kd_hidden,0.77678,0.89408,0.1727,1469,969
tweet_eval-sentiment,kd_attn,0.78981,0.9054,0.16185,1327,985
tweet_eval-sentiment,kd_logit_hidden,0.79046,0.8956,0.15993,1343,927
tweet_eval-sentiment,kd_logit_attn,0.77735,0.88717,0.16865,1483,923
tweet_eval-sentiment,kd_hidden_attn,0.77743,0.89648,0.17138,1467,970
tweet_eval-sentiment,kd_full,0.79103,0.89476,0.15785,1321,941
vardial,ce_only,0.63368,0.67778,0.48649,113,32
vardial,kd_logit,0.60421,0.63333,0.48342,123,32
vardial,kd_hidden,0.44211,0.52874,0.59548,189,35
vardial,kd_attn,0.61053,0.63333,0.4901,120,32
vardial,kd_logit_hidden,0.60632,0.64368,0.49741,121,35
vardial,kd_logit_attn,0.63579,0.66667,0.45483,111,32
vardial,kd_hidden_attn,0.45684,0.5618,0.58048,186,33
vardial,kd_full,0.56842,0.5977,0.51552,135,35
